temp,treatment,infection_status,ID,total_spvs,death,secondary
12,0,Uninfected,16,0,96,FALSE
12,0,Uninfected,49,0,128,FALSE
12,0,Uninfected,34,0,132,FALSE
12,0,Uninfected,31,0,151,FALSE
12,0,Uninfected,37,0,158,FALSE
12,0,Uninfected,28,0,179,FALSE
12,0,Uninfected,43,0,185,FALSE
12,0,Uninfected,46,0,186,FALSE
12,0,Uninfected,7,0,193,FALSE
12,0,Uninfected,13,0,209,FALSE
12,0,Uninfected,25,0,219,FALSE
12,0,Uninfected,22,0,222,FALSE
12,0,Uninfected,10,0,230,FALSE
12,0,Uninfected,64,0,237,FALSE
12,0,Uninfected,58,0,259,FALSE
12,0,Uninfected,4,0,261,FALSE
16,1,Infected,169,0,22,FALSE
16,1,Infected,162,102,43,FALSE
16,1,Infected,111,44,44,FALSE
16,1,Infected,154,85,44,FALSE
16,1,Infected,139,35,46,FALSE
16,1,Infected,166,NA,46,TRUE
16,1,Infected,159,10,48,FALSE
16,1,Infected,156,85,49,FALSE
16,1,Infected,145,34,50,FALSE
16,1,Infected,115,47,55,FALSE
16,1,Infected,142,69,55,FALSE
16,1,Infected,121,57,61,FALSE
16,1,Infected,106,340,63,FALSE
16,1,Infected,151,53,63,FALSE
16,1,Infected,109,145,67,FALSE
16,1,Infected,117,87,71,FALSE
16,1,Infected,112,216,72,FALSE
16,1,Infected,102,39,79,FALSE
16,1,Infected,135,17,87,FALSE
16,1,Infected,118,21,95,FALSE
16,1,Infected,157,59,103,FALSE
16,1,Infected,108,99,112,FALSE
16,1,Infected,127,117,117,FALSE
16,1,Infected,132,49,117,FALSE
16,1,Infected,138,306,118,FALSE
16,1,Infected,114,141,126,FALSE
16,1,Infected,129,80,129,FALSE
16,1,Infected,148,21,135,FALSE
16,1,Infected,103,108,141,FALSE
16,1,Infected,172,95,149,FALSE
16,1,Infected,171,63,155,FALSE
16,1,Infected,105,135,159,FALSE
16,1,Infected,133,211,159,FALSE
16,1,Infected,160,69,177,FALSE
16,1,Infected,168,58,181,FALSE
16,0,Uninfected,101,0,14,FALSE
16,0,Uninfected,158,0,23,FALSE
